観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在の積雪の深さ(cm),現在の積雪の深さの品質情報,現在の積雪の深さの平年比（%）,日平年値,日平年値の品質情報,日平年値の現象なし情報,極値更新,10年未満での極値更新,昨冬までの観測史上1位の値（cm）,昨冬までの観測史上1位の値の品質情報,昨冬までの観測史上1位の値観測時の年,昨冬までの観測史上1位の値観測時の月,昨冬までの観測史上1位の値観測時の日,昨冬までの2月の1位の値（cm）,昨冬までの2月の1位の値の品質情報,昨冬までの2月の1位の値観測時の年,昨冬までの2月の1位の値観測時の月,昨冬までの2月の1位の値観測時の日,統計開始年
11016,北海道宗谷地方,稚内（ワッカナイ）,47401,2026,02,11,04,00,35,8,71,49,8,0,,,199,8,1970,02,09,199,8,1970,02,09,1938
11061,北海道宗谷地方,声問（コエトイ）,,2026,02,11,04,00,22,8,55,40,8,9,,,95,8,2013,01,08,81,8,2021,02,02,2006
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2026,02,11,04,00,35,8,59,59,8,9,,,118,8,1998,02,05,118,8,1998,02,05,1983
11121,北海道宗谷地方,沼川（ヌマカワ）,,2026,02,11,04,00,66,8,73,90,8,9,,,172,8,1985,02,24,172,8,1985,02,24,1983
11176,北海道宗谷地方,豊富（トヨトミ）,,2026,02,11,04,00,45,8,63,71,8,9,,,143,8,1985,02,23,143,8,1985,02,23,1982
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2026,02,11,04,00,94,8,86,109,8,9,,,197,8,2009,02,21,197,8,2009,02,21,1982
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402,2026,02,11,04,00,67,8,86,78,8,0,,,231,8,1958,03,03,200,8,1970,02,10,1942
11316,北海道宗谷地方,歌登（ウタノボリ）,,2026,02,11,04,00,103,8,87,118,8,9,,,214,8,2018,03,04,203,8,2018,02,22,1982
12041,北海道上川地方,音威子府（オトイネップ）,,2026,02,11,04,00,137,8,86,159,8,9,,,281,8,2018,02,25,281,8,2018,02,25,1982
12141,北海道上川地方,美深（ビフカ）,,2026,02,11,04,00,95,8,86,111,8,9,,,186,8,1999,03,12,177,8,2018,02,24,1983
12181,北海道上川地方,名寄（ナヨロ）,,2026,02,11,04,00,71,8,84,85,8,9,,,151,8,2013,03,12,140,8,2018,02,24,1979
12231,北海道上川地方,下川（シモカワ）,,2026,02,11,04,00,70,8,78,90,8,9,,,175,4,2013,03,12,157,8,1994,02,26,1983
12301,北海道上川地方,和寒（ワッサム）,,2026,02,11,04,00,64,8,82,78,8,9,,,161,8,1994,03,18,159,8,2006,02,19,1982
